l_rate;policy;n_steps;n_epochs;timesteps;TRAINING TIME;MEAN SCORE
0.0001;CnnPolicy;2048;20;10000;290.057;164.13
0.0001;CnnPolicy;4096;5;1000;63.527;117.70
0.001;CnnPolicy;4096;10;10000;286.375;106.82
0.0001;CnnPolicy;4096;5;10000;160.375;83.35
0.001;CnnPolicy;2048;5;1000;27.732;82.65
0.0001;CnnPolicy;4096;10;10000;224.657;77.47
0.0001;CnnPolicy;2048;10;1000;38.809;77.30
0.001;CnnPolicy;2048;20;10000;385.04;65.69
0.001;CnnPolicy;2048;10;1000;38.874;55.26
0.0001;CnnPolicy;4096;20;10000;367.386;53.29
0.001;CnnPolicy;1024;20;1000;34.554;47.82
0.0001;CnnPolicy;2048;20;1000;57.397;45.50
0.001;CnnPolicy;4096;5;10000;193.82;34.64
0.001;MlpPolicy;2048;5;10000;123.38;29.74
0.001;MlpPolicy;4096;5;1000;49.771;27.37
0.0001;CnnPolicy;4096;10;1000;75.882;17.73
0.001;CnnPolicy;2048;20;1000;73.227;3.53
0.001;CnnPolicy;1024;10;1000;22.097;-4.98
0.0001;CnnPolicy;2048;5;10000;134.364;-11.96
0.001;CnnPolicy;1024;10;10000;219.407;-18.89
0.0001;CnnPolicy;4096;20;1000;124.675;-20.56
0.0001;CnnPolicy;1024;10;10000;187.048;-24.01
0.001;CnnPolicy;4096;10;1000;85.549;-26.33
0.001;CnnPolicy;1024;5;10000;136.874;-34.28
0.001;MlpPolicy;4096;5;10000;153.693;-36.19
0.0001;MlpPolicy;4096;20;10000;306.004;-37.19
0.001;MlpPolicy;4096;20;10000;484.805;-41.66
0.0001;CnnPolicy;1024;5;1000;13.817;-41.86
0.0001;MlpPolicy;1024;20;1000;23.375;-49.18
0.001;MlpPolicy;1024;20;1000;28.226;-52.82
0.0001;MlpPolicy;1024;10;1000;15.811;-54.58
0.001;MlpPolicy;2048;10;10000;189.196;-55.06
0.0001;MlpPolicy;4096;10;10000;203.737;-55.68
0.0001;CnnPolicy;2048;10;10000;188.824;-58.97
0.0001;CnnPolicy;2048;10;10000;196.73;-58.97
0.001;CnnPolicy;1024;5;1000;13.768;-59.21
0.001;MlpPolicy;2048;20;1000;56.836;-59.24
0.0001;MlpPolicy;1024;5;1000;13.773;-59.70
0.0001;CnnPolicy;1024;10;1000;18.816;-59.91
0.001;MlpPolicy;2048;10;1000;31.634;-61.04
0.0001;CnnPolicy;2048;5;1000;27.3;-61.20
0.0001;MlpPolicy;2048;10;10000;157.796;-62.14
0.001;MlpPolicy;1024;10;10000;211.694;-62.47
0.001;MlpPolicy;2048;20;10000;375.738;-63.03
0.001;MlpPolicy;1024;10;1000;18.549;-63.67
0.001;MlpPolicy;2048;5;1000;23.696;-64.29
0.001;MlpPolicy;4096;10;1000;63.819;-64.69
0.001;MlpPolicy;4096;10;10000;248.45;-66.35
0.001;MlpPolicy;1024;5;1000;13.938;-66.52
0.0001;CnnPolicy;1024;20;1000;30.907;-67.46
0.0001;MlpPolicy;2048;5;10000;120.46;-67.81
0.001;MlpPolicy;1024;5;10000;126.085;-67.90
0.0001;MlpPolicy;4096;10;1000;63.584;-68.49
0.0001;MlpPolicy;2048;20;10000;261.375;-69.22
0.0001;MlpPolicy;4096;20;1000;92.135;-69.94
0.0001;MlpPolicy;4096;5;10000;142.115;-69.96
0.001;CnnPolicy;2048;5;10000;142.83;-70.81
0.0001;MlpPolicy;1024;10;10000;155.049;-71.11
0.001;MlpPolicy;4096;20;1000;130.943;-71.56
0.0001;MlpPolicy;2048;5;1000;23.544;-72.15
0.0001;MlpPolicy;2048;10;1000;34.435;-73.78
0.0001;MlpPolicy;1024;20;10000;235.548;-74.07
0.0001;MlpPolicy;2048;20;1000;53.634;-74.51
0.0001;MlpPolicy;4096;5;1000;55.854;-75.53
0.001;CnnPolicy;1024;20;10000;380.894;-76.71
0.0001;CnnPolicy;1024;5;10000;134.609;-77.53
0.001;MlpPolicy;1024;20;10000;386.253;-77.53
0.0001;MlpPolicy;1024;5;10000;137.825;-80.36
0.0001;CnnPolicy;1024;20;10000;312.238;-83.95
0.001;CnnPolicy;4096;5;1000;56.384;-93.20
0.001;CnnPolicy;2048;10;10000;213.843;-100.78
