0.001;CnnPolicy;4096;10;1000;85.549;-26.330399081110954
0.001;CnnPolicy;4096;10;10000;286.375;106.8238939171036
0.001;MlpPolicy;1024;20;1000;28.226;-52.8216830243667
0.001;MlpPolicy;1024;20;10000;386.253;-77.53157356878121
0.001;CnnPolicy;1024;20;1000;34.554;47.820362297197185
0.001;CnnPolicy;1024;20;10000;380.894;-76.71157892793417
0.001;MlpPolicy;2048;20;1000;56.836;-59.240209137399994
0.001;MlpPolicy;2048;20;10000;375.738;-63.028050464888416
0.001;CnnPolicy;2048;20;1000;73.227;3.5306305239597955
0.001;CnnPolicy;2048;20;10000;385.040;65.68555795152982
0.001;MlpPolicy;4096;20;1000;130.943;-71.55903614809115
0.001;MlpPolicy;4096;20;10000;484.805;-41.65551089247068
